video_id,labels
SGYAAHXM,68
BLQWTHGA,78
TXNDLKTH,68
INJHEUNV,"75,78"
TTYYXWMK,"68,78"
OOBVGDSN,133
YZTCSKBS,78
AWGKZDAL,"68,90"
NHMNOWUH,102
ZGSSACGB,133
LUJNWBGU,52
YDXKSRTZ,68
BHFNDDSN,25
SNBFCBQT,"76,13,67"
SRGPJMHZ,102
ECIBLIBW,"52,49,102"
RKRKWUPH,80
MLOBUADX,"16,102"
FLUJRTFT,"38,26,27,102"
GMPHAIFB,40
VCLBWBGU,"40,52"
RCBTESEB,15
TLUEVMWW,15
THKMCKRV,"40,8,102"
RWAGHNQN,"102,15"
CQMKJXGD,58
WQJENVEI,"48,133,102"
XLPAQXGD,133
HUNPZXGD,"133,102"
UITTPGQD,2
QHWAHTLI,"68,24"
PUHWBXGD,28
UROBPZTV,102
HTWMFVTI,"123,102"
GCEYKIFB,68
SUTXNOIP,"68,71"
HJQJQXGD,48
BEKHDSPG,128
HFMJUMGJ,68
RROWEBQT,"58,68"
RGPRJVEI,"49,68,52,103"
OELANVEI,"104,48,49,90,2,103,40,133"
TUVGSONO,"102,15"
NQIEPAMC,133
OIIKOUXV,"102,15"
GBMNAFUP,"78,102"
CRNPCVKA,"102,15"
PJGSLIQR,"133,102,39"
QWOBGPDU,"13,8"
NGCKINQN,15
GJNBGNSU,100
UJKTVKGZ,68
VQWTMFXO,"104,90,15"
CFNSKLZD,68
TCOJXUUK,"133,15"
AGAMZCIN,"40,52"
CGIQFVMP,"10,133"
ASKPDTHG,133
RENVAPIF,133
MSAAGBRS,58
TTRYXNQN,102
RJCVDFFP,"68,78"
TOLVBTFT,"38,26,102,90,47,27"
PIHXFKJZ,"114,52"
BDGXADMX,15
MGECMNQN,"102,15"
UFKYJWZS,"104,123"
SZXBFQXC,"40,133,67"
PWHGSPIK,68
HDEHVNQN,102
BIUQBRAC,"133,67"
KEZAQFPE,68
HBDGHNQN,"49,102,2,15,68"
SOXOZJVY,40
DRYTTXYT,"102,116"
LLLYGTFT,"38,102"
BLYFWVMP,"52,133,102"
FRTLTTFT,"38,102,26,90,47,133,27"
PGSBTMVW,"102,90,2,15,68"
IZGNNGQD,"68,51,78,1"
MQNEXXGD,40
IFUOZNPL,"58,16,76"
GXTQKBRS,52
YLYAIJBD,67
LOBFTZQJ,"68,52"
HVBBVDCD,11
SPBSLDAL,"52,123,102,2,69,68,32,133,13"
XUGJHOIM,68
CHUSLMVW,"102,90,2,15,68"
VCSYKOXJ,78
CMBEEAMC,"139,133,102"
ANJQUCEI,78
XNTNSGQD,1
WBATBDAL,"104,68"
WORHKFXO,"48,52,102,135"
KVKKOGQD,123
STUQXKOU,"105,40,102"
BSRBDLDC,21
QXIGJKOU,"102,133,40,15,105,67"
EHPQRPDI,123
BYBHQXSF,"21,40"
SOGQDJVY,"48,40,102,52"
KEIZMTFT,"38,26,102,133,27"
RYADAJBD,103
NZADAIQR,"62,102,1,39,8,120,97"
UTJYHIKV,"40,7"
PBDYOTFT,"38,26,102,47,27"
QBFKJFXO,"52,102,135"
PQSYKKOU,"128,52,102,67"
KVAGTUDX,52
DCETONJC,101
GZTWSDEV,16
FRQSGKOU,"133,102"
QPGOZJVY,"48,40,103,90"
LNUDFWUH,"103,90"
GCOVLXTD,68
MWAAYAMC,"133,102,67"
APKKGNPL,"123,47"
LJTMNGCS,"104,108,3,102,116,2,133,68,97"
MGVZPFFP,123
YGINATHG,2
PAESAMYV,68
CBSRULSQ,40
MQXFKCEI,78
YDLJBIMN,133
WDXXPPKK,"38,104,102,90,84,68,133,46"
UOZRUVMW,68
NNSAKLHH,58
RCQTGOIM,68
DAJEMBXG,"48,102,2,133,15,40,67"
IAOVLTEK,40
GHLRPUPH,"2,68"
NZCGVPAB,"58,52,102,68,78"
UDHJWEUL,"68,112"
YKJJIDAL,"2,133,102"
VSICTZGK,"9,78"
LLJXRCDA,9
MNIDVFUP,68
NKOWDUDI,"2,68,103"
SSHEWNPL,123
IGTPSAHW,"52,69"
UQYXRRAC,133
TCYGUVEI,"68,123,102,90"
WZGINWZS,"38,123"
FDBQPPLS,"102,90"
TMJSDUNV,78
ABNMGXGD,40
ATMBMPHK,"128,133,90"
XCNOJADX,"40,102"
NNVIHVRM,68
AARMFPTK,"102,90,2,15,68"
VWALIBRS,52
WGIIRUDX,"52,133"
IARPNMRN,40
KFEQCNQN,"2,102,15"
XJNHSHGA,"102,118,68,97,78,117"
WEHIMHXM,78
JKWTYRAM,"68,47"
CIGVIHGA,"102,68,133,78,117"
MMQJMFFP,"120,40,7,123"
EPOWDOOZ,78
SMZJMYSZ,"68,46,78"
KOCWQPKK,"38,104,90,68,133"
EWDEEPIF,121
ZUKNZJVY,102
MDNYJGBP,102
XMCUFJIR,"68,13,102"
VAKOAVEI,"68,102"
GQXRDYES,78
AYBJCVEI,"40,90"
OJLTKOIM,78
EKEQATHG,"2,65,67,133,12"
VPQBPHGA,25
UDVBXNPL,"16,76"
RQNJNGIW,"68,40"
LHGLJCND,"120,133,8"
LMTQPHGA,"114,115,102"
KGAMBMRN,40
KQVPTTCN,126
CIMTQELW,78
MQGZMHSA,"128,52,69,102"
CAUXPJIR,102
ETBWOXGD,40
VHBFVVIQ,"68,78"
DIBUHIQR,"102,97,39,8,133"
OASKKRDX,38
UHAIIMYV,78
QMDEVTKX,40
XKAPAPTK,"2,68,102,15"
YUGSLJVY,"48,40,102"
JILELSVW,78
AZZQDGQD,67
LPEIPPIF,121
USWMRPIF,52
UPMVCPLS,"2,68,133,102"
BANHIRGE,"123,8"
ASLHPICC,133
PWDSTFPE,68
QDPDMDCC,"133,102,67"
KXNUQVEI,2
VPATRIJJ,"98,7,8"
YENWICND,"40,7"
FNOZCXEC,"81,68,19"
NJMRMVEI,"102,90"
CEJMDVTI,"2,68"
UJPIKPKK,"52,102,69,68,133,27"
OELSHUOY,102
CTVKNBQT,68
VNKPCIQR,"26,102,1,51,78,100"
ZRDMCWBO,"40,13"
KOQTMFJO,"68,67"
KSGIEWMK,78
XLCGQVMP,52
HWSBBNQN,"68,15"
DBEKVNQN,"2,68,15"
GKHLMYMI,78
JELSSUHU,2
GFKOAUXV,"102,15"
ETBREJVY,"40,102"
ICFXPZTV,"40,133"
AHLLGPTK,15
QYDVWPKK,"38,104,90,68,133"
QGMAJDKB,"133,102,15"
WVQDNSOB,68
MBZFTDAL,"52,123,69,68,32,13"
IFTHPPKK,"38,104,90,68,133"
RBVIRIFB,68
YYEDLGBP,"40,78"
AFRXYHGA,"2,102"
KNSQYMZL,48
LTXKYRAC,"40,133,102,45"
UZAZOADX,"52,69,102"
GYDSFNPL,123
LESCNPKL,"69,78"
YACKOFUP,38
UZGSYAEY,2
GWAQSQTX,68
MYVPFUDX,133
TWOSUJKQ,68
WCFXAIQR,"26,102,1,51,78,100"
BMBRTUDX,100
OLAMJEBY,67
RRMTOVKA,"102,15"
UFQMCYSZ,47
KGEBSUXR,"47,40,78,67"
BLJOMUOY,102
FSSTVEUL,"102,112"
TAYBXVMP,133
SQJEVUPH,102
CQMZNKOU,"133,102,15"
GSACRSBA,52
PYBPNNQN,"102,15"
EVTCGFGA,114
EGVPDXDO,"2,14,51"
XUOJZLDC,2
JLYDZLKI,58
SVKFEHFB,102
ZVZUANQN,15
JDCETIMN,2
NTEAAUPH,78
UBUXLLHH,"40,7"
LSYSLKOU,"114,133,102"
CPQVQDAL,"104,68,103,1"
EBFNLAYR,15
UQCJJNPL,73
IEAKTTFT,"38,26,27"
TFNLZNQN,15
UPCVULHH,"68,92"
PQHSBTUB,68
WZXPNXGD,100
OEFJFIQR,"102,97,39,8,133"
IMSPMNQN,"2,102,15"
MISRBNCR,15
NBVLJUXS,112
ISAFKLHH,"68,65"
SDNTKBNI,133
CVOIRMHZ,"8,102"
TQGLYHGA,133
BNFNHNQN,"102,15"
XGGOMSUS,15
IWPRGDFS,"68,78"
ELHQIXDO,76
ICYKDVEI,"48,49,90,2,103,40,133"
JAZZMSBA,"2,48,52"
YYIWLRAC,"133,102,67"
WXQIYMRN,"104,68"
XMVOFDQX,9
TGQOKGIW,104
AMFVDFGA,"48,102"
GSGTJBCH,102
AIRZPOOZ,"68,78"
FDYRGRLL,133
BHYZBVEI,"104,102,135,90,2,128,15,68,40,133"
YLVOXNPL,"1,51"
REJLXVEI,"49,90,2,103,40,133"
NCCFSUDX,2
TYBROBSK,"40,123"
YVJHUHVR,"25,78"
YOKIARTZ,102
KFFUKUDX,133
SMYVQBQT,"68,78"
TPAHMVEI,"104,32,90"
ZAHVMNPL,"69,15"
KVNQHVKA,"102,15"
UKNIOEWT,123
MSGTVRLL,78
UVXIJBGG,15
QIJRDLWC,133
JPBCSUJL,"10,102,104"
MLWWTQFB,133
BKBVMEUL,"68,78"
MCPBAQTX,102
VEWVNKOU,"15,13,102,67"
KDQZXPKL,"78,67"
LUYUTVMP,15
WFQEJIQR,"62,102,96,1,39,8,120,97"
UJONPLHH,68
CBJQEGJU,"52,1"
HLMWBXGD,100
LQFMCGHA,"102,15"
XAPSLVMP,68
KBBSVJKU,68
MPWSAPIF,121
JTDBHCEI,"2,133"
KQPIZNJC,123
MWSOXRLL,"58,133"
NLKRMTEK,2
UMFXGQTX,102
SMIZDHSA,"52,69"
OYUEPDAL,"2,123,102,104"
QOJORXDO,"120,8"
HULDQPLS,"102,2,8,68,40,133"
TPREWVEI,40
DZUIBMHZ,68
TIVFZXGD,"68,40,133"
EVULYUDI,"104,68,102,15"
NBVMMONO,"102,15"
PDTABBQT,"104,68,73,116"
TNHQHHSA,"52,102,69,128,118"
JDUOTTFT,"38,26,102,47,27"
NDIEKMCW,102
IOIYYUDI,2
KBQYJVEI,"133,102"
KTSGTCEI,"120,40"
SHRJHFFP,102
XTDVMPAF,2
MECARIQR,"102,97,39,8,133"
JUJCRZQJ,"52,13"
UBQKUXIF,123
RMASMJBD,52
VIQANQTX,"68,133"
XBBXGMME,"52,102,15,30,133"
CIUSLICC,133
GUKMGBQT,67
TKWMWUPH,123
DKFFGZJZ,2
DITBUHDU,102
CIWHUXGD,40
HOJPXCIN,45
EZKOALHH,123
QANACWMK,78
OHEHSVMP,32
WYMWRKJZ,44
UHKORHPH,40
AKDYCHGA,"78,102"
WRLWSNXN,37
FZBLGGQD,67
WQZXXQWI,104
MCYPBMRN,40
NGTCECDA,68
WLSCVUJL,"10,102,104,78"
IVYZKBQT,"16,108,27"
DCRKSUDX,133
PXTEVGCS,"104,3,102,2,133,118,68,97"
CBQWOMME,"69,40,133"
JQIHCYUQ,"105,40,78"
MQFMBVYU,102
MNBPBVEI,"104,102,135,2,128,15,68,40,133"
WDSXEAMC,"133,82,87"
RPBPHSVW,68
KCGARCND,"40,7"
VKMDLLKY,2
GZQYENQN,"102,15"
OEIQEVKA,128
FZSFJQDT,102
OBICYDMX,"102,15"
OTMXDFGA,46
LLOXTDPR,58
VAOUZXPO,78
JQZIZSEB,102
AXZDBXGD,100
PAFMPBQT,2
XVXMZNQN,68
LMNYGPDU,40
ZYEXPGCS,133
TNZIAXEV,68
WSMRVUPH,"102,67"
MNKHDHDU,"13,67"
YTJWEUJL,121
IPJAYHGA,78
UEYKEHSA,"2,52,49,102"
MUUQPPKK,"68,133,102,90"
KUBQJCIW,102
RRDKZLSQ,"2,68,40,102"
FATMYBQT,68
EKGEHIQR,"102,97,39,8,133"
DGAKGEWB,102
AACXOPTK,"2,68,102,15"
WUDHYXFE,"121,1,7"
CMPMCPTK,"104,68,15"
CPGPSVMP,2
WHXVRXEC,"75,102"
JVIRDPKL,16
HNZWMFFP,123
NQFSRRJS,"40,7"
HJVLAVMP,40
SFXSCIYC,102
YRTITVEI,"48,49,90,2,103,40,133"
GVMXUGQD,"102,65"
TRKYDGEG,133
DZEKSPLS,"68,8,90"
HHMYFUBE,"40,7"
EBDBHFGA,"133,45"
LJSUILDC,2
KBCWONQN,"102,15"
TATPJXQD,78
URPLAWPM,68
GVZMQXER,78
SVJOEPTK,"68,102,15"
SWBHOIBW,102
JEAYRBQT,133
RGKNZLHH,"81,68"
GANSTUPH,"68,123"
WVACDLHH,133
IEWNHBQT,2
FUKXRAOX,123
QMXOUTEK,2
MASGTVKA,"103,80"
GQFUKACP,78
VPUFHFUP,"102,112"
EMDZAFUP,78
IRQWHFFP,123
ATXQDEDF,68
EDHXFIQR,"68,100"
DOGMFVMP,49
HSIQGHGA,"102,116,97,133,78"
MWPIHKZB,21
UAYAODAL,"68,90"
VDYUIDAL,"2,68"
RSTDSEUL,68
UIOYRNPL,45
UONPAPKK,"52,102,69,68,133,27"
FBYAIQXC,67
XVFJUZIE,40
RGUJJLHH,"68,92"
OEEWRVRU,68
BNKSKVMW,68
ENZODHSA,"2,52"
WDAMQXGD,2
MEKPBNJC,"2,68,15"
CFWQQUDX,"14,100"
SOAJCXEC,68
EYEBDXGD,"2,102,104"
NIXDCHXM,68
MXHHKBGU,"40,52"
ISXJIJVY,"40,103,90"
KNMMIHFB,68
QEUAGVTI,68
PXGYRDCC,52
XRASXFXO,102
JTIIEFFP,102
ZYDHNNPL,"123,54"
AIBLFGQD,16
IAFIGKZB,78
RXOLYPHK,"99,40,133,102"
YATGQMVW,"58,104,102,2,10,118,68,78"
AWLJZCEI,"68,78"
ZHCCXVMW,"2,68"
LNNHXXDO,"42,1,100"
JICTZEWT,123
MEWPAXRE,"52,102,2,103,68"
RGMZQSBA,"2,48"
YFORPWBO,"133,102,67"
RVQUWZTV,"133,102"
VJJZYFXO,"104,48,102,135"
JCCMOVEI,"48,2,103,40,133"
IJZNNHGA,"102,116,78"
SFDHBRAC,67
DFQNRDCC,"102,67"
PMZPBPKT,"123,102"
DKCHJONO,"102,15"
KGDVFFUP,"68,102,112"
FOFTVHGA,"133,78,97"
JIWWQOTL,47
CBXCJZIE,"69,102"
SFCUXADX,102
JEUTEONO,"102,15"
ZZZDQACP,138
OFZAMEUL,"102,112"
CJVIXUPH,102
CYMPGFFP,"98,74"
SAPOIFXO,15
NDESEVEI,"40,133,102"
EWRUDDCD,11
AHDUEJVY,"40,69,102"
LHWWKPHK,133
TGRJAVMP,"40,69,102,52"
JJTHWFGA,"128,102"
FCVEAKGZ,"123,37"
ISWOVBQT,"96,27"
TCLLJMRN,"48,102,2,40,133"
YZKGUUPH,68
XLQTEJWU,"40,133"
LCMVUDAL,"104,123,5,40,13"
ELPMUMVW,"58,104,102,2,128,10,118,68,78"
IRBEEDAL,"104,68"
JPTJPZQJ,"2,68,75"
OBEEOVEI,"68,40,90"
RTKBDZAA,123
XHZWYBXG,"68,133,15"
DZGXAXGD,40
MLZEVTEK,102
CAZTCEBY,102
YQMGIVYU,102
TVCUTBQT,45
TSTAKQDT,102
USCVQKOU,"102,15"
IIEKMPTK,"68,15"
CGFZDEUL,"102,112"
NJOATVTI,"104,48"
NIRZGPKL,78
MMALQBGU,52
MJJPPBQT,59
KQLPJQXC,"40,133"
JXWWAIQR,"97,133,102,39"
MBCQCPTK,"68,102,15"
JZRUODAL,"69,68,123,102"
AAOAJKBS,100
KCSMSYMI,"104,103,135"
ADRLLJWU,133
RJJMPIQR,"102,39,8,120,97"
YVYLPLVZ,"2,68"
FVMBWXGD,52
ININULDC,78
EHYSFEDF,133
YYXNQJVR,90
BSCIGUFF,"40,102"
ESSFBVTT,40
PFKNCBQT,40
EBZEGKDQ,"68,69"
DZEZPKOU,102
ETWGSKOU,114
XRWVQMRN,"102,2,68,40,133"
TNORJZTV,"2,68"
ZNARBNXN,"52,37"
NAOLEMVW,"102,90,15"
DNECUPTK,"104,68,102,15"
TZDRSXMC,80
AJCINFGA,133
TIRHVXSF,"48,10,21,67,40"
IYAKZCKR,102
TVWULHAQ,52
DKQFGMWW,2
KVVPXGBP,68
VAHUFEOD,"52,102,15,68,133"
VQANFMRN,"48,102,90,2,40,133"
DLANGPTK,"2,68"
TSMSMVCV,78
HYDASLDC,"78,45"
PIJOQNQN,"2,68,102,15"
OYVMUNQN,"102,15"
VYLLKPKK,"84,68,46,102"
JGRFRBSK,123
UHFICHBS,"102,15"
MNHVGDGW,"48,103,102"
ATVPDPKK,"38,104,90,68,133"
IRKWPSEB,15
ILEHQRHB,15
FSJUYZQJ,52
IXCMJRJS,52
HAWPVNQN,102
KEEWWWMK,78
SYYRPSBA,40
MHZWGUDX,68
VXEFSJBD,15
NCBVNGHA,"2,15"
TXKWYMVW,"58,104,102,2,128,10,118,68,78"
GKDIHPKK,68
ZABYMFGA,"133,67"
NVNKHJVR,133
SGVSUVKA,100
IVOOQLSQ,"48,68,102,15"
BKGQGPKK,"38,102,90,84,67,68,133"
NVAZQJVY,40
VZKQWHSA,102
GPCPCUBE,102
ZVAKFLZD,68
NBXJMPKK,"38,104,90,68,133"
FXGGBIOQ,52
XRZRRCIN,"40,69,52"
BAHNJKEW,36
VSLUQPKK,"38,104,68"
LZTRPPKL,68
OOMPTZTV,"2,133"
NDXYGBQT,40
RKARRPKK,"52,102,69,40,133"
RYFQMNQN,"49,102"
YHPAMGJU,78
XVSUYJVY,"48,40"
QAKPBYTZ,"104,15"
SKYAYLHH,2
VSASQSOB,102
THHLOIQR,"133,97,1"
HQYSQHGA,"40,133"
WDORHQCN,16
CEASHIOQ,52
ICCOYUNV,78
JQWUZPKK,"52,102,114,40,133,27"
RMKMAFKM,"14,100,67"
XJLRFWMK,78
GAGRMQCN,102
YOUVCJKU,"114,67"
CACPXDGW,"68,102"
UAJUWIVA,"2,123"
AIJRJPAB,"68,78"
LXOPRPLS,"104,52,102,90,2,69,114,68,40,133"
NAQOGADX,"16,99,102"
BMZUKFUG,40
JPTSLYSZ,40
QLQIIIQR,"102,1,51,67,100"
XYTGGLSQ,"68,40,102,52"
FNJJVFJO,78
GFAERAMC,"133,102"
PUVGHFXO,"102,15"
JNCLBKOU,"105,102,110,69,15,40"
CKCWYUJL,10
PZOIQVRM,"40,7"
BCKLWKGZ,"68,123"
FFFPWAOX,123
JCOUKKOU,"102,15"
ISHSMVEI,"52,49,102,90,68,32,133,100"
AAJNFNXN,123
MHLXAXGD,"29,130,51,68"
KWLMMUUK,102
PAJSPJVY,"40,90"
SOXPKSVW,102
KIXNVBSK,123
DSBQGSDT,68
DETIDLHH,68
HABQUFFP,102
IHRJWDMX,"102,15"
SDBQXZAA,123
UNPXMJDE,76
CSZOVSOB,68
NFAONHSA,"118,69,102,52"
KFIVDIFB,68
RLEYZKEW,"69,123"
TBZUCJIR,"2,68"
VNPTOPTK,"104,90,15"
AUBLELHH,68
ZANXSSBA,"49,40,133"
DJRRYEUL,"68,112"
DYJZRZQJ,"104,133"
RFXCCWUH,"105,40"
FFYUFVEI,"2,68,40,100"
EFJDMGHA,"68,52"
MJVGDNJC,"78,12"
MCEWXZLK,"38,102"
AVRPCBQT,68
MZWVJPDI,"123,102"
QESPGDPR,133
LYQYIZQJ,68
NGRCLLZD,52
CTXSKKOU,"102,110,40,15,105"
DGCFPZQJ,"96,8,102,67"
SDDXAUPH,67
FVKKQIQR,"102,2,1,51,67,96,100"
XFTCFXHP,"40,133,102"
LDHAIGCS,"104,108,3,102,116,2,133,68,97"
RUZGZFNJ,52
AKIOYONO,"102,15"
PDYTMQDT,102
AAIQZYMI,52
VVARGVKA,"2,133,100"
VRVUOMVW,"52,102,2,15,132,68"
ZGISLFNJ,100
TNODKPDU,40
BPSSEONO,"102,15"
IKLBRPTK,"68,102,15"
OJOQYJBD,"128,102"
VEUJRRAC,40
IHWHTGIW,"104,68"
PCTNZAMC,"139,133,102,74"
NQLIDPTK,"104,52,102,15,68"
EQABTKRF,2
EIPWOAHK,78
