video_id,labels
UBLIVGDO,40
IJNDBIQR,"102,39,8,120,97"
OARQTHGA,"133,102,90"
GQXZZSBA,"32,103,102"
XXGUEVEI,"2,15"
UEIFQTHG,"68,133"
FHYTGUOO,"102,15"
ICBBOTFT,"38,26,102,90,133,27"
YIOWELKY,68
VGMWZJKU,67
RBYKSFFP,"123,28"
BEQEFNPL,67
PICDRKGZ,123
BJAMFQFB,"78,65"
QSSXXUDX,"38,2,47"
WTAKTMRN,40
RLSGXNPL,68
CJMZMNPL,123
IVNWFIFB,"68,78"
GXRIMZIE,"52,69,102"
UTJOSMRN,"40,90"
FMCSUIFB,68
KIHFBGEG,"68,67"
UJPNJPAF,68
UBVFDGCS,"104,108,3,102,2,133,118,68,97"
JYWSADQX,102
SIFZKZYO,45
KYCRSFFP,78
HTCHACND,"7,8"
DYGRGPKK,"69,68,133,102"
VWPILVEI,"104,40,133"
WEKDVEOD,"49,15"
DTJQEUHU,2
WNTCQHGA,78
SDTYJHGW,"2,102"
VKYFAZDI,68
IILRHVEI,"133,102"
RNHGQUPH,52
SGCEQCIN,52
HGDDETEK,2
YMSWSRGE,"42,8"
EVHTDSVW,"78,45"
CZWQRLSQ,"68,40"
MZCQFPTK,"2,68,15"
THKVJPLS,"68,40,133,102"
CUACAXGD,100
BEKAQPHK,40
IJEDXJIR,2
TJVTKPKK,"52,102,114,40,133,27"
VKTRIVEI,"48,49,90,2,103,40,133"
DTYADNPL,"102,15"
RASVUXGD,"68,47"
USBCEAMC,133
NTHHEUXV,104
JHGTOPLS,"68,40,133,52"
JWDTLRHB,15
XOEBYFGA,"78,102"
TSZBFXYT,"2,68,99"
UZRUXZON,102
YNPLGSOB,68
RBYRVUXS,68
KXBUOJBD,"128,48,102"
LGXNCGHE,68
PXIBRSVW,68
TINZZEOD,"102,15"
VCHRMZJZ,102
AHLRWAFG,"68,102"
WCWORCIN,"40,69"
WORJZRFV,123
PFCMZCIW,"68,78"
GWDPURME,68
GBNOWXTD,68
VBTYKVEI,90
HVQJSUUK,"102,15"
KIBZRDCC,102
XVEIEUOY,"123,15"
EESUOUJL,"104,68,102"
FJIXRPKK,"38,104,90,68,133"
BDBOHTLI,40
ZOKGRPIF,"51,123"
EZDFABQT,76
JNPGPHGA,"102,2,97,133,78"
MMNBXXGD,52
AVVPOADX,99
CPEARJVY,"40,69,102"
SVJZPVCV,68
TAQZMTFT,"38,26,102,47,27"
PKWXFVJP,78
YNHUUMVW,"58,104,102,2,128,10,118,132,68,78"
UUQGWXHP,"52,102"
ZRKHNPKT,102
PWZFSMHZ,18
VENWYVMW,"2,68"
ZMMNJBNI,2
DCRFEPLS,"68,133,102"
FZRMSKDQ,"114,68,133,15"
XHGJPREH,69
WGXWKSOB,78
AFEDZGHA,"128,68"
QWCSSVKA,"133,102,15"
VOBSQACP,"9,78"
WIZOLIWV,"104,32"
OEYQTVMP,40
ZNTLKMVW,"58,104,102,2,128,10,118,132,68,78"
ZMJHEPAB,"120,49,8"
VPFANKLF,"52,69"
SCAHCVTI,"2,68,28"
FCQTAXEV,68
ZYKCBDSN,123
PSFZKVRM,67
VKWBNKOU,"102,40,15,105,67"
QALVSNXN,68
LPZBUGIW,"2,68"
DPMGKTUB,68
XCWOPIQR,"62,102,96,1,39,8,120,97"
BBXCEBQT,102
QEJPPSPG,15
XUSXFIQR,"102,133,39,8,120,97"
GGLKYBQT,"2,45"
CUTULQFB,"68,133"
KWZHTPKK,"40,102"
TYMQJGCS,"104,108,3,102,116,2,133,68,97"
MNPGMUDI,2
DGNEIZQJ,"133,102"
DDJWCTFT,"38,102,26,90,47,133,27"
VUTOJBQT,"59,82,65"
YDFUTTFT,"38,47"
DBBCFXGD,40
IWJUMPLS,"2,68,102,90"
PCPEUXYT,99
WZDOSYTZ,"135,90"
QGKOWSBA,40
EEOGCLSQ,"48,40,78"
LQTRNOIP,"40,7"
KPKIEBQT,"16,68,102,67"
ZXDSEVKA,"102,15"
WMRGGNJC,"2,68"
BOQRKPKK,"69,133,27,102"
USUIPVMW,"133,45"
MRJMJVEI,"104,32,90"
TVYIOFYY,"2,102"
FGBUCPTK,"68,102,15"
CCKXBNCR,"123,102,15"
KETHXVEI,"40,133"
ZEHATWSW,78
PPCJLPDU,40
TUPMKJVY,"48,40,69"
CNCUPBQT,57
VIFCTVEI,"68,133,90"
QVCTTKOU,"52,15"
QUQZILKI,40
DGMSTNQN,15
IMILFPTK,"2,68,15"
VLWTRIQR,"102,97,39,8,133"
DFQXQNQN,15
VKYZLBRS,69
AIBLWPKK,"104,40,102"
MLVFDYMI,52
CJGFKJYD,"68,102"
TFXNJADX,"40,80,102"
AYWBVFAU,"41,13,78"
IYVZNNBD,"58,108"
CBVWFDAL,"68,103,1"
ANGIMFFP,"40,78"
MLGOSHGA,"2,133,102"
EJQITVYU,"68,109"
ZCHLPPKK,"46,102"
YRTVWRLL,"58,133,128"
GAFHIBLQ,58
JYGIFPIF,"102,100"
KRDIRUHU,40
AFEUMDAL,"68,123,102"
XWGXDHAQ,"102,2,114,68,13"
IIMJAXTD,78
TCTJGHGA,"97,78,102"
HSTOSVEI,"104,32,90"
CGFANKGZ,47
UIMPHFNJ,"2,68"
JJHTTVEI,"2,40,102,90"
QOZTQGCS,"118,1"
MPGNYPKK,"52,102,114,133,27"
ATKBHBQT,"68,74"
ERBSPJHH,102
SYNHLDSN,67
SKQRNLHH,123
VJYSYAMC,"133,102"
DOOLLAEM,40
EQLBWDEV,68
OKSDRVDY,"52,102,15"
MESVDXGD,133
NJCNUUUK,15
UXYTYYTZ,"104,102"
YIWNGXGD,100
QNZCVUDX,133
RZYHSNPL,"68,102,116"
COWHEQRD,103
XLGSQELW,58
NLTVSFFP,47
MZTNWFJO,40
NYUDSTLI,78
NYYFLDFS,68
KVLABFFP,68
TNRJTUJL,"10,107"
ZAZDJSEB,102
UOLGDIQR,"62,102,96,1,39,8,120,97"
NJVCDFGA,52
ASIHHXHP,"40,133,102"
UMAIVPTK,"104,68,102,15"
DSJPQKRV,"49,102"
MSMMRDAL,"104,123,5,40,13"
FZQMCGBP,68
ECZKCXGD,40
OUITZKOU,"102,110,40,67,105"
JGGETSBA,"2,48,52"
ZHFKQTEK,16
DZLMLVEI,"104,102,2,68,40,133"
CECAYUXR,"67,102,47"
MSRMLREH,40
GUKKMEDF,68
TSYSEFFP,"2,68,100,16"
SHWIUHSA,2
YCORJUIV,123
QOFABVMP,"40,69,52"
OCGNHXER,68
PQLRKIJJ,78
FVLZMGJU,"40,78"
ECIXMNQN,"102,15"
LNOPEADX,"40,80,102"
VTDQGUDI,"104,68,103,15"
KLGWCNPL,"108,68,102"
QWNQTKOU,15
HXPFBVKA,"102,15"
XGMIWUPH,"102,44"
DAFJCDGW,133
AFMIPZLK,102
HXCCBDAL,"104,123,5,128,32,13"
FCPIXNQN,"2,102,15"
KRAHHVEI,"102,2,128,15,40,133"
PNFMEMHZ,"8,78"
MQCBZDAL,68
YBZJFLHH,"58,68,81"
NDDCPCND,139
AOZWOKEW,100
BXJEDICI,"96,1"
JFLUAWSW,78
FICOVGCS,100
SRBOCJBD,15
PFCPJCND,"40,7"
TXVRRCIW,40
AOMYEWZS,"123,102,45"
QGRKKPKT,"123,102"
BAJLEWMK,78
OYGUYVEI,"2,48"
OCTWKTKX,"104,48,40,102"
SNAIMUXR,"67,102,47"
WXVGUXGD,"2,61"
CWWOOIQR,"62,102,96,1,39,8,120,97"
UGFOWATH,68
PANQUUJL,"121,123"
ILWNDLHH,133
JLVJUVEI,"52,103,90"
RGPINSDK,133
CWNKKSOB,68
VDKYFLHH,68
FDTPHLOI,15
YVNZQQRD,"68,75"
BGBVZZTV,52
FEBQYUDI,"104,68"
ZYOGLJYD,78
DOJOBWBO,"2,102"
CQUIONPL,"69,15"
KYBDKUOY,102
TDXCAHCQ,48
PGVCNFFP,40
TQAICMVW,"104,102,128,10,118,78"
NIEVWXQD,78
OKVLUNPL,"13,8,100"
UDZORVKA,"40,103,80"
XELXJZYO,"68,45,90"
PCZYGNSU,"40,102"
KFAIZZQJ,2
SBPIBXHP,"133,102"
XXBYKIQQ,78
BZLZVKOU,"114,67"
PPDBEVEI,"104,102,2,128,15,68,40,133"
WBRGXIFB,68
HTVUFRSU,100
WAOMSMWW,2
ENKGAXDO,97
AFNSKXRE,"2,103"
MARMGBQT,102
VQCLQTFT,"38,26,102,90,47,27"
YONHCCDA,2
NKLFRXGD,40
JVXPOWMK,68
SUWIMXGD,68
CWMJEBXG,"104,32"
SQCETTHG,"133,45"
BTQJBMLY,123
SEHGNHAQ,116
UHMHCGQD,68
FXNMOIYC,67
YYQOBXSF,"21,40"
ZNEMNHGA,"102,133,118,68,97,78,117"
SRPJJSDK,133
THAUMUOY,"104,123"
QJFINRHW,68
FGMFGHSA,"128,52,69,102"
NWQLJSQK,78
QMNMMPTK,"68,102,15"
SPEEMTFT,"38,102,47"
CDXFMDAL,"104,68,5,13"
UMPETPTD,133
AEHHLPTK,68
QFKXUFUP,102
YJVLZFFP,78
CZUXTWMK,68
XPIBDHAQ,"68,102"
GWJVCNQN,15
LUJBBHSA,"52,69,102"
NOLYGTKX,"48,40,102"
IEUGDHVR,78
WDFSTVMP,"75,130,102"
AYTAMFNJ,"133,102"
NEGGQTLI,46
YWRQTLWC,133
GPOWHJVY,"40,103,90"
XOFNDPKK,102
KCRISPKK,"68,133"
NOJFXJVY,40
DTHOBFFP,68
EWKOGHAQ,2
IRMWGVMP,15
KRIXWXYT,"99,102,116"
YLNMOZIE,"40,52"
WNRFCPAB,78
RNXNTPLS,"104,68"
VPNAWIQR,"62,97,1,39"
VAYXNMVW,"128,102"
ZNYDOVEI,"104,90"
XNACFIWV,38
QKIXSZJZ,"40,133"
LAITUJVR,133
KYTMABBY,47
TZSMXSDK,102
KRXTRZTV,40
RQFPQPZC,"68,75"
IAVTMHAQ,"13,78,102"
QYZFPHCU,"102,15"
NKYJVHCU,"102,15"
PPHEFZYO,"68,45,90"
YVDTVJIR,102
BJTRKQTX,48
YPORPEWB,"133,102,100,90"
ITAZXFGA,"48,52,81,68,78"
