video_id,labels
NMOJRPKK,"38,104,68"
GMFWRBQT,69
JEJISPTK,"2,68,102,15"
ABZRXVEI,"48,102,2,67,133"
NEYRNKEW,"30,133,139"
EXCAJRAC,67
QHLCNPLS,"102,2,68,133,100"
TNYPCSBA,"48,102"
WVGXJFFP,68
FACDNVKA,"2,133,100"
JWUURZQJ,"32,40"
FUGBOLHH,2
WYVOLKOU,"102,40,15,105,67"
ZZSJJLHH,48
IYJTVHGA,102
RASNBJIR,"2,68,52,13"
ZMRNDWRZ,"52,49,123,2,133"
RCAMFTFT,"38,26,27,102"
ZGPCIWBO,2
PCJCJNQN,102
LFDJTXGD,45
GMGYPPIF,"91,67"
EBJJCLSQ,"2,40"
RZRKYBQT,"16,67"
BSESKPLS,"68,40"
AXIARUPH,"102,67"
SIOOKNQN,"2,15"
ICIAESOM,52
QSWVNFXO,"104,102,90,15,68"
YKMIQPTK,"2,68,15"
YUZBSBQT,"68,67"
HCNKXFFP,"51,78"
EHNCNBQT,2
LKSTSKGZ,123
NSLPHFXO,102
GCLPYJBD,102
PCQUDFGA,133
THSQCIQR,"62,102,133,1,39,8,120,97"
KPQXIKOU,"68,102"
AUDNOUDI,"104,2,103,15,68"
XUCHNBQT,45
CAZKQXGD,100
JCXLVVMS,"104,40"
FGYZNGJU,"120,47"
QYWMELHH,"68,78,65"
ZZOLFFFP,78
AEZTBKEW,68
ZDTAVYTZ,"102,90"
RIGZGHFB,"133,102"
GZZNBFXO,"104,102"
LKAOYNSU,102
QXFOVGQD,"102,65"
TOXLWVEI,"2,48,52,102"
ONJEZLHH,"40,7"
TRNDGUUK,105
ZXFYHLSQ,40
HSDIFHGW,"13,9,102"
IPXTRJIR,"2,68,52"
JLWFLJKU,"40,102"
GGBSPBQT,67
DZSVNEUL,68
MPFOSUXS,"62,112"
UVDADNPL,67
UCKOARAC,133
BSHGJPDU,40
OTDSQQCN,16
XJCEOPKK,"133,102"
RFSPHNQN,"49,102,2,15,68"
TAKJMIOQ,"68,52"
UGTRJLZD,40
XCQUDDAL,"104,123,5,128,67,32,7,13"
LQFJBPKK,68
TAQHINQN,2
QCDGLKRV,102
YMOCRPLS,"68,133"
HFUULUXS,78
NHKDTHSA,"2,52,15"
MJVCHFUP,68
JRYYFTEK,102
WBIKPLHH,67
LRDEWCIW,"68,1"
ZWTUJAMC,133
TLUDCFXO,"102,15"
BNJEFPIF,123
AJNJRIQR,"62,102,133,1,39,8,120,97"
LSKUFLBD,68
JERMJUDI,"2,68,15"
MXBQHNPL,"2,68"
ZCLFXPDU,8
PAWLEDAL,"2,68,133,102"
MZDDLVMW,"2,68"
HIDTMIQR,"102,133,39,8,120,97"
TYCLNRAH,102
FLRUWHSA,"2,52,15"
PCACBPTK,"2,68,102,15"
VDUELPLS,133
CAKQLAHW,22
VKUGCAHW,68
KHHEHFIO,15
NECEMXGD,100
FBSNIEUL,68
VMYJPHGA,"102,116,26,2,133,118,51,68,97,78"
SMABTIWV,133
CVRVUPTK,"104,15"
KRXFESPG,15
WJRIQHSA,"2,102"
IYEABUPH,49
TEKQKFGA,"128,69,52,133"
ZBITFPLS,"114,40,7"
HFSXFPKK,"38,104,68"
EREXDHGA,78
MNMXGAOX,"121,123"
TNOHURME,68
BKWPCMVW,"102,128,10,68,78"
SDVCVTFT,"38,26,102,47,27"
DPNQDRAC,133
IRZPVGQD,123
SHBZTWMK,78
FNHGXZON,50
YXHKRMHZ,68
ENATVDAL,68
CXZUIRHW,78
SOTIEIBW,"2,40,8,104"
QCTYXSQK,78
LQZEDZIE,"40,133,52"
AGSKCVTI,"2,48,104"
COCPYBXG,"48,90,114,76,67,68,133"
NHPWLSDK,133
DFWUZEDF,102
NMUEDVKA,15
IBNUNSDK,133
WTAPMAEM,40
KHCPJZGK,123
LBPZHVEI,"38,2,68"
VKUPFNQN,"2,15"
QEXWXPAB,"8,5,78"
YKLVCGJU,"40,69"
JBZYPFXO,"102,15"
SPGRLFXO,"102,135"
CIGAYKOU,"105,133,102,15"
FYRPZDFC,"58,75"
FRZYKREH,102
SPSEYXHP,"105,40,69,102"
LGDRCXGD,133
FBAVLFUP,112
IYUABUDI,"2,68,52,15"
DSPJDPLS,"104,68,40"
PQHKZVKA,15
WHLHATCN,"126,40"
OTNDCMHZ,"68,88"
XZEVPOOZ,78
YJNBHIBW,40
FJJOYLHH,"68,78,65"
QCCTLPAB,68
EDRXQHVR,"68,52,78"
SPSOJXYT,"2,48,99"
DDNXOZIE,102
UXESZXGD,102
NHHUZVEI,"104,48,49,102,90,2,103,40,133"
DWUCVDQX,9
CUPYESBA,52
NFIDUPIF,"1,123,51"
TYGJUVKA,"2,100"
CQJURLSQ,"2,68,40,102"
IUKRGEUL,112
PVPDJDPO,108
ZRJUOQTX,68
ITAXZVOG,"94,102"
FKDFDPDI,102
AJGHONSU,133
SBMMZKOU,15
KXEFCXER,78
NNRHKNPL,102
FOVKQAMC,133
VHCZNQTX,68
CSBDAOIM,"2,94,68"
GFYABQCJ,123
NVLOUHEB,47
XSHSJKDQ,"68,133,102"
NDMJTAEY,48
LDRZDZLK,"48,133"
WCJMFHSA,"2,52,15"
SDHEIEBY,"40,133,8"
GUWVDFXO,"104,48,102,135"
QGXSPLSQ,"48,102,2,68,40"
ITLDHGQD,68
EUFMXDSN,133
ELYYMAMC,133
YWFJJZYO,"133,13"
TNULYBXG,32
UYAXZJKU,52
QCUHGNQN,102
NKTDPMME,52
WNEFLPTK,"2,68,15,22"
OPPPLDAL,68
SZGDCFFP,"13,123,102"
UPPASPKK,"38,104,102,90,68,133,46"
VPFSMEOD,52
QNXQSCKR,"102,15"
MVYCKGCS,"96,1,97"
JFUNUBBY,"69,102"
ULLOTRDX,38
WPPENKGZ,123
UJHUUGQD,2
ATXOLBOE,15
TJPORCDA,78
TSNTXPTK,"2,68,102,15"
OGHBJWSW,102
EUSAOPTK,"2,68,102,15"
MGTVPFFP,123
GEHJQHGA,"97,133,78,102"
RJEKMFUP,"102,112"
EJUWKPAB,2
UNLWHXGD,123
NGWNYKOU,"128,52,102"
UBTEULHH,68
UWBAWVDY,"102,15"
PANOKUDX,133
FWDNJLDC,78
XSUBUCNX,"133,45"
BNOEPEDF,123
WKOPMLSQ,102
OGRVYPTK,"2,15"
TGEVNFXO,"48,52,102,135"
NBPCHQWI,"102,90"
PDATCSBA,"38,102,15"
ZNBALPKK,"104,68,133,90"
UGAZCEQQ,59
WXTSMDFS,78
MNLURFFP,40
RXJOGKPH,102
UOIPINPL,"102,45"
NILBXVEI,"40,133,45"
SDFKMEBY,40
SVVLSGIW,"2,68,40,90"
UKVEWTFT,"38,26,102,47,27"
LKBKIADX,"40,80,102"
MYZAIXEC,"81,19,102"
APDNNUBE,68
AZTUVMRN,40
DYDDSCKR,"102,15"
LISFKDSN,133
GTRMIUOY,28
VTZKKONO,"128,48,15"
OGBCAPKK,"38,90"
QIGYBZJZ,133
JYIPMZIE,"52,102"
CUKHHJVY,"48,102,69,128,40"
MZGSOFXO,"104,102,90,15,68"
JMTPOHGA,"2,68,102"
RCNWADGW,"52,69"
WRVQOBQT,40
EPEAEZJZ,"40,133,102,15"
GKPZRRAC,"68,133,78"
EOKXKXEC,"81,19,102"
KXVLSIMN,133
GNZFGRAC,"133,102"
ZEGODXRE,2
TSKSRIQR,"62,102,96,1,39,8,120,97"
UUBWNKWA,78
VBXYUKOU,"102,15"
CDGIDKOU,"105,40,133,15"
UIRJPUPH,"1,123"
FVXUQXRE,"38,2,68,104"
DCQYOTFT,"38,26,102,90,133,27"
REKCSSBA,"32,103,102"
JRNTZEOD,"68,102"
CACBBBXG,"48,68,76"
TQWQDUPH,"40,7"
DNJJPKOU,"102,15"
LCNEONPO,"2,133"
CFKRDUJL,"10,102,104,78"
EYNFNDAL,"52,123,102,2,69,68,32,133,13"
DDALYHGA,"68,97,116"
BPKOFLWC,40
JRWTSPIF,"120,1"
FVRULNSU,133
WUWGURAC,"133,67"
NFQYUHGW,"114,133,102"
SPPXYESP,"48,40"
YUSSPFPE,68
PIRMJONO,"102,15"
QCINJVEI,"48,133"
HZCAQTHG,"2,133"
DXORPXGD,"40,133"
KYHTKPTK,"102,2,15,68,22"
FXLJUUDX,133
SLNSACIN,40
OGPXXACP,78
OIIHYQCN,16
HARLLTLI,"68,78"
XRAWFLZD,"68,69"
NVBJQPKK,"104,68"
SLPLNWPM,45
JCKXSNPL,"128,2,15"
AROVKSUS,15
TMFANFXO,102
AMGKETFT,"38,102,26,90,47,133,27"
LPHPCNPL,"64,15"
CGRBKVMW,"2,68"
PMIKUXGD,100
SIZPIUXS,"2,68,78,102"
DULFHBQT,78
HJFOBJWU,68
WHTDKVMW,68
CKMGOWWK,123
GHROHCEI,133
QMCXHSBA,"2,52"
NUMQLXYT,"104,99"
KJARFUXS,68
NUKZCTHG,"2,102"
LOWWYKDQ,49
KMTBYPJK,123
OTTEJVEI,"104,90,2,33,68,40,100"
GSOATHVR,"68,120,8"
MCUFKGQD,68
ETIBLDMX,"102,15"
GPYEFFGA,128
LKSMONQN,"102,15"
EZIUHGEG,133
QAAUPUDX,45
IWQOCNSU,102
LZZIWDMX,"102,15"
MCGCYHGW,"102,15"
ORONYJYD,"78,102"
PKCDIPAB,"120,7,8"
VDKCNMRN,"2,102,100,90"
FHJDWMVW,"102,2,128,15,68"
ISAZXDAL,"52,123,102,69,67,32,68,40"
ABAJFAMC,"108,133,106,65"
LVTNJLKY,"128,133"
WOPPQEBY,68
KEONLPKK,"38,102,84,67,68,133,46"
XKOCAHVR,"8,7,78"
PYJOVRAC,102
OUHKTDQX,102
YULUZVMP,68
FYUCXJVY,"40,67"
SCNIIJVY,"40,102"
QPELVMRQ,123
TGLDQBQT,68
JADAYLOI,"133,15"
DFLVQPIF,"1,123,51"
EBHXPUFF,"114,48,47"
DYASXLQI,"16,133"
JFWGKMHZ,"102,78"
EVJNEQTX,"40,7"
WYNNCJKU,"105,40"
MOPHLNXN,"69,101,37"
TDJAMMVW,15
ORIMIPKK,"38,104,84,67,68,133"
UNTEFGHA,15
KRLOQXHP,"52,102"
VGTJRMCW,"40,133,45"
XAXTAKTR,68
ZUXYXLQI,58
BTQMJBLQ,78
VTPCKPKK,"114,68,133,102"
BKKWDFXO,"48,52,102,135"
VNBTKNPL,102
EBAFIFJO,"68,139"
YAPVLMWW,68
OEDDBLVZ,78
YOFSIFYY,78
NEBFGDGW,"133,13"
BFTOVNQN,"68,15"
CLIYXYTZ,"123,102"
ZSEOIZQJ,47
FIIKEIBW,"49,15"
QNEORSOB,68
EYEOZNSU,133
SYMAGLDC,78
PWQNTVEI,"123,102"
BFVDTXMC,"80,102"
JZHPDAFG,122
IBUOLVMP,"133,103,116"
LLBNEMHZ,"102,5,40,8,120,7,13"
WGLIXNPL,"102,45"
MLRBZPJK,123
VEYJIPKK,"52,102,114,40,133,27"
RBEWNKOU,"128,15,67"
IXYFPADX,102
OEIQMNPL,"69,15"
YHEQBGBP,"40,78"
CPJXMTFT,"38,26,102,90,133,27"
IESKDAYR,"104,90"
ULMLUIQR,102
WOACLQTX,68
RQZOQHFB,2
TAPKHEUL,"68,102,112"
OUFMSXGD,"2,100"
ZFZDSDGW,52
GLQOUSBA,"52,49"
JEQBZGIW,68
VKZJVOIP,2
NINHMKTR,78
YSBZIPTK,"2,68,102,15"
BMSXEZQJ,44
OSGACHGA,"102,116,2,133,118,51,68,97,78"
BXBRADSN,133
NUYVYXGD,2
LHKIMVKA,"128,2,102,100"
SEURJSEB,52
KHQAYAMC,133
CIBWEADX,133
FFPJNVMP,"52,133,102"
MDUWHPDI,123
KKFZUMWW,15
VYAKQCIW,"40,7"
TIMJHUOY,"104,123"
CVSPOKGZ,37
ZBYPVPTK,"102,2,15,68,22"
VRITSEUL,"68,78"
GZXHCPLS,"68,133,102"
DJBJOMYV,"2,68"
KSDJWTEK,102
DCZWDLSQ,"48,102,2,15,68,40"
UUREGXGD,"25,133"
YRLCQRAC,"133,45"
VQZXFQRD,68
JRLAYVKA,"68,133,102,15"
TSMLMNPL,"64,15"
DZCCHFGA,"68,52,133,102"
UNXUWFUP,"2,68,78"
HUMMKVJP,78
TYNYCPKK,"38,104,102,90,84,67,68,133,46"
VFGPVVMP,48
NYTJQSOB,68
RXEPYAMC,"106,99,68,133,100"
HIAJQUDI,"104,2,103,15,68"
YXHQWYTZ,"104,133,15"
YDMQQBQT,"8,78"
EZCWVKEW,101
OPGXDNOT,68
XGYANVKA,102
IOACRWWK,37
EWQNPJBD,15
FJRILPTK,68
DIFUHPKK,"52,102,69,114,68,133,27"
KVCCKAMC,"68,133,102,100"
BWKZKUPH,102
YPXDAVMP,"114,68,40"
AQNVCEDF,123
VSYZGUDI,"2,68"
MJDRLGQD,68
JUJWMTFT,"38,102"
QNNSMEUL,112
UMJJXEOD,15
MFEFCFAU,"102,2,51,68,78"
RNSUXHCQ,68
UDHPDRDX,38
HWWRBIJJ,"7,8"
FKYSYBQT,"16,13,67"
HNLXDUXS,62
WYCBDBGG,102
KALYHVKA,100
WTAXJPZC,"40,7"
CJJCCPTK,"102,2,15,68,22"
PXWYGKDQ,40
CIZCVPAB,"58,68,78"
AXUENOTL,"114,15"
ARXXWUDX,133
PFCIRTFT,"38,27,26,47"
VEVTKPIF,121
JDIETPKK,"38,68"
VCBEOEWB,90
CLVDCMRN,"104,48,102,2,40,133"
RQYQYGQD,"78,65"
VYPCVPLS,"104,52,102,90,2,69,68,133"
QWQTWSBA,"102,135"
EKICJNQN,"52,15"
ZSQDJPLS,"102,2,68,133,100"
YNDMODUC,"17,47"
HJXBFHDU,52
FODMDNQN,102
CFFEFFUG,133
CWTJTDEV,16
OJERZLDC,"2,78"
MBSAYJVY,"128,40,102"
DXRWSHGW,"40,133"
OTTJYMVW,"58,104,102,2,128,10,118,68,78"
XVCCEUHU,76
HMSSHNPL,"68,102"
JDQHUZIE,"102,15"
YFGWLVEI,"2,100"
YWBTIUDX,52
BNXUEPIF,8
KNKFUUJL,"10,102"
JJRKPHFB,15
XJCVRNQN,"2,68,15"
IBBJLBQT,68
WKZQBSPG,"128,102"
UMMXVSEB,90
UVAHQFFP,"25,68"
YHYMOUPH,"105,40,69,15"
DAAOIUPH,"105,40,133,15"
PPUQPNCR,"123,15"
ULCKMJVY,"40,69"
VMARFPIF,123
BWZOBSOM,"52,101"
UKCMXBQT,1
PXSMIVEI,"48,49,102,90,33,40,133"
YGGIPIFB,"2,68"
CYPGOBME,"132,40"
UFUJTIVA,78
EMWWJFUP,"2,68,112"
MCNPZPKT,123
MLATIFXO,102
TMEQDUPH,123
GSVCRUDI,"2,68"
DEPPHFUP,2
GARTOGQD,52
YOMXNVEI,"104,90"
UNZDCVYU,133
DGMMNGQD,67
ENVPGNQN,"2,15"
MTAWMSEB,"52,99,102"
QLWHJKOU,"68,102,15"
QLLUSEUL,"68,112"
BSNBYZJZ,"133,67"
YRPCAVEI,40
RPEAXNQN,"2,15"
TICHXWMK,78
PFTJZBQT,"27,78"
RVOWHFXO,"104,48,102,135"
CGPGVBGG,"103,90,15"
DHJBTFFP,78
WCUPPKPH,69
IWZPDVKA,100
